Tipo,Nome,Tier,Agente/Owner,Auto-Invoke,Prioridade,Descricao,Triggers/Keywords,Como Usar,Exemplo de Uso
SKILL,/architect-first,Core,architect|dev|aios-master,Sim,Critical,"Desenvolvimento architecture-first: design completo antes de código","arquitetura, architecture, design system, nova feature complexa, system design","/architect-first ou diga 'preciso arquitetar...'","Preciso arquitetar um novo módulo de autenticação"
SKILL,/tech-search,Core,all,Sim,Medium,"Deep research técnico com WebSearch + WebFetch","pesquisar, research, best practice, como fazer, how to, melhor forma","/tech-search {query} ou pergunte 'qual a melhor forma de...'","Qual a melhor forma de implementar SSR com Next.js?"
SKILL,/enhance-workflow,Core,aios-master|pm|architect|po,Sim,High,"Pipeline multi-agente: Discovery → Research → Roundtable → Epic","melhorar feature, enhance feature, evoluir projeto, adicionar funcionalidade","/enhance-workflow {feature}","Quero evoluir o sistema de notificações"
SKILL,/mcp-builder,Core,devops|dev|architect,Sim,High,"Guia para criar MCP servers (FastMCP/Python ou MCP SDK/Node)","criar mcp, create mcp, build mcp server, mcp integration, fastmcp","/mcp-builder {service}","Preciso criar um MCP para integrar com Stripe"
SKILL,/skill-creator,Meta,aios-master,Não,Low,"Criar ou atualizar skills do Claude Code","(apenas invocação direta)","/skill-creator {nome}","Quero criar um skill para revisar PRs"
SKILL,/context-optimizer,Tier 1,all,Sim,High,"Reduz tokens via compressão inteligente e lazy loading (-50% tokens)","otimizar contexto, reduce tokens, contexto grande, economizar tokens","/context-optimizer ou 'contexto muito grande'","O contexto está muito grande, otimize"
SKILL,/circuit-breaker,Tier 1,all,Sim,Critical,"Previne loops infinitos, custo descontrolado e falhas em cascata","prevenir loop, stop execution, limite de custo, guardrails","/circuit-breaker ou mencione 'loop infinito'","Preciso de guardrails para esta task custosa"
SKILL,/learning-loop,Tier 1,all,Sim,High,"Agentes que melhoram a cada execução (compound intelligence)","aprender com, learn from, lição aprendida, padrão de sucesso","/learning-loop capture ou 'aprenda com esta sessão'","Capture o que aprendemos nesta sessão"
SKILL,/institutional-memory,Tier 2,all,Sim,High,"Memória organizacional que persiste entre sessões","decisão anterior, já fizemos isso, histórico de, por que decidimos","/institutional-memory search {query}","Por que decidimos usar Supabase?"
SKILL,/cost-guardian,Tier 2,all,Sim,Critical,"Controle rigoroso de budget com enforcement automático","custo, budget, orçamento, gasto, quanto gastei","/cost-guardian status ou 'quanto gastei hoje?'","Qual o status do budget mensal?"
SKILL,/skill-composer,Tier 2,aios-master|architect|pm,Sim,Medium,"Combina múltiplas skills em workflows complexos orquestrados","combinar skills, skill pipeline, múltiplas skills, orquestrar skills","/skill-composer create {workflow}","Combine /tech-search + /architect-first para esta feature"
SKILL,/tool-discovery,Tier 2,all,Sim,Medium,"Descoberta inteligente de ferramentas com RICE/WSJF e registry global","qual ferramenta, which tool, preciso de uma lib, melhor MCP para","/tool-discovery {need} ou 'qual lib para...'","Qual a melhor lib para validação de formulários?"
SKILL,/data-insight,Tier 2,all,Sim,Medium,"Pesquisa rápida para decisões data-driven (quick/standard/deep)","pesquisar sobre, dados sobre, análise de mercado, competidores","/data-insight {question}","Qual o tamanho do mercado de PMS hoteleiro?"
AGENT,@aios-master,-,Orion,-,-,"Orquestrador principal - coordena squads e workflows","@aios-master ou /AIOS:agents:aios-master","@aios-master *help","Preciso orquestrar um workflow complexo"
AGENT,@architect,-,Aria,-,-,"Arquitetura de sistemas, design patterns, decisões técnicas","@architect ou /AIOS:agents:architect","@architect *create-full-stack-architecture","Preciso definir a arquitetura do novo módulo"
AGENT,@dev,-,Dex,-,-,"Implementação de código, debugging, refactoring","@dev ou /AIOS:agents:dev","@dev *develop-yolo","Implementar a story 5.1"
AGENT,@pm,-,Morgan,-,-,"Project management, PRDs, stakeholder communication","@pm ou /AIOS:agents:pm","@pm *create-prd","Preciso criar um PRD"
AGENT,@po,-,Parker,-,-,"Product ownership, backlog, priorização de features","@po ou /AIOS:agents:po","@po *backlog-review","Revisar backlog do sprint"
AGENT,@sm,-,Spencer,-,-,"Scrum master, facilitação, remoção de impedimentos","@sm ou /AIOS:agents:sm","@sm *draft","Criar próxima story"
AGENT,@qa,-,Quinn,-,-,"Quality assurance, testes, validação, quality gates","@qa ou /AIOS:agents:qa","@qa *review {story}","Revisar story para quality gate"
AGENT,@analyst,-,Alex,-,-,"Análise de dados, requisitos, especificações, brainstorming","@analyst ou /AIOS:agents:analyst","@analyst *brainstorm {topic}","Preciso analisar os requisitos"
AGENT,@devops,-,Gage,-,-,"Infraestrutura, CI/CD, MCP management, GitHub operations","@devops ou /AIOS:agents:devops","@devops *push","Push para remote com quality gates"
AGENT,@data-engineer,-,Dana,-,-,"Data pipelines, ETL, modelagem de dados, Supabase","@data-engineer ou /AIOS:agents:data-engineer","@data-engineer *create-schema","Preciso modelar o banco de dados"
AGENT,@ux-design-expert,-,Uma,-,-,"UX/UI design, wireframes, protótipos, design tokens","@ux-design-expert ou /AIOS:agents:ux-design-expert","@ux-design-expert *wireframe","Criar wireframe para tela de login"
AGENT,@squad-creator,-,Sigma,-,-,"Criação e configuração de novos squads","@squad-creator ou /AIOS:agents:squad-creator","@squad-creator *create-squad","Criar novo squad de vendas"
COMMAND,*help,Global,all,-,-,"Mostra todos os comandos disponíveis do agente ativo","*help","*help","*help"
COMMAND,*status,Global,aios-master,-,-,"Mostra contexto atual e progresso","*status","*status","*status"
COMMAND,*guide,Global,all,-,-,"Guia completo de uso do agente","*guide","*guide","*guide"
COMMAND,*exit,Global,all,-,-,"Sair do modo de agente","*exit","*exit","*exit"
COMMAND,*yolo,Global,most,-,-,"Toggle para pular confirmações","*yolo","*yolo","*yolo"
COMMAND,*kb,Global,aios-master,-,-,"Ativar modo Knowledge Base (carrega AIOS Method)","*kb","*kb","*kb para ativar documentação completa"
COMMAND,*create,Framework,aios-master,-,-,"Criar novo componente AIOS (agent, task, workflow, template)","*create {type} {name}","*create agent sales-expert","*create task validate-order"
COMMAND,*modify,Framework,aios-master,-,-,"Modificar componente AIOS existente","*modify {type} {name}","*modify agent dev","*modify workflow onboarding"
COMMAND,*workflow,Framework,aios-master,-,-,"Iniciar workflow (ou listar disponíveis)","*workflow {name}","*workflow greenfield-fullstack","*workflow brownfield-ui"
COMMAND,*plan,Framework,aios-master,-,-,"Planejamento de workflow (create/status/update)","*plan [create|status|update]","*plan create","*plan status"
COMMAND,*task,Framework,aios-master,-,-,"Executar task específica (ou listar)","*task {name}","*task create-doc","*task execute-checklist"
COMMAND,*develop,Dev,dev,-,-,"Implementar story tasks (yolo/interactive/preflight)","*develop {mode}","*develop","*develop-yolo"
COMMAND,*develop-yolo,Dev,dev,-,-,"Modo autônomo de desenvolvimento","*develop-yolo","*develop-yolo","*develop-yolo (executa sem parar)"
COMMAND,*waves,Dev,dev,-,-,"Analisar workflow para execução paralela","*waves [--visual]","*waves --visual","*waves para ver oportunidades de paralelismo"
COMMAND,*create-service,Dev,dev,-,-,"Criar novo service a partir de template","*create-service {type}","*create-service api-integration","*create-service utility"
COMMAND,*create-full-stack-architecture,Architecture,architect,-,-,"Arquitetura completa do sistema","*create-full-stack-architecture","*create-full-stack-architecture","*create-full-stack-architecture"
COMMAND,*create-backend-architecture,Architecture,architect,-,-,"Design de arquitetura backend","*create-backend-architecture","*create-backend-architecture","*create-backend-architecture"
COMMAND,*create-front-end-architecture,Architecture,architect,-,-,"Design de arquitetura frontend","*create-front-end-architecture","*create-front-end-architecture","*create-front-end-architecture"
COMMAND,*analyze-project-structure,Architecture,architect,-,-,"Analisar projeto para implementação de feature","*analyze-project-structure","*analyze-project-structure","*analyze-project-structure"
COMMAND,*create-prd,PM,pm,-,-,"Criar documento de requisitos do produto","*create-prd","*create-prd","*create-prd para novo projeto"
COMMAND,*create-brownfield-prd,PM,pm,-,-,"Criar PRD para projeto existente","*create-brownfield-prd","*create-brownfield-prd","*create-brownfield-prd"
COMMAND,*create-epic,PM,pm|po,-,-,"Criar epic para projeto brownfield","*create-epic","*create-epic","*create-epic"
COMMAND,*create-story,PM,pm|sm,-,-,"Criar user story","*create-story","*create-story","*create-story"
COMMAND,*backlog-add,Backlog,qa|po,-,-,"Adicionar item ao backlog (follow-up/tech-debt/enhancement)","*backlog-add {story} {type} {priority} {title}","*backlog-add 5.1 tech-debt high 'Refactor auth'","*backlog-add"
COMMAND,*backlog-review,Backlog,qa|po,-,-,"Gerar revisão do backlog para planning","*backlog-review","*backlog-review","*backlog-review"
COMMAND,*backlog-summary,Backlog,po,-,-,"Resumo rápido do status do backlog","*backlog-summary","*backlog-summary","*backlog-summary"
COMMAND,*code-review,QA,qa,-,-,"Executar review automatizado de código","*code-review {scope}","*code-review uncommitted","*code-review committed"
COMMAND,*review,QA,qa,-,-,"Review completo de story com decisão de gate","*review {story}","*review 5.1","*review story-5.1.md"
COMMAND,*gate,QA,qa,-,-,"Criar decisão de quality gate","*gate {story}","*gate 5.1","*gate story-5.1.md"
COMMAND,*test-design,QA,qa,-,-,"Criar cenários de teste completos","*test-design {story}","*test-design 5.1","*test-design story-5.1.md"
COMMAND,*push,DevOps,devops,-,-,"Git push após passar quality gates (EXCLUSIVO)","*push","*push","*push (único agente autorizado)"
COMMAND,*pre-push,DevOps,devops,-,-,"Executar quality checks antes do push","*pre-push","*pre-push","*pre-push"
COMMAND,*create-pr,DevOps,devops,-,-,"Criar pull request da branch atual","*create-pr","*create-pr","*create-pr"
COMMAND,*release,DevOps,devops,-,-,"Criar release versionado com changelog","*release","*release","*release"
COMMAND,*search-mcp,DevOps,devops,-,-,"Buscar MCPs no catálogo Docker MCP Toolkit","*search-mcp {query}","*search-mcp notion","*search-mcp stripe"
COMMAND,*add-mcp,DevOps,devops,-,-,"Adicionar MCP server ao Docker MCP Toolkit","*add-mcp {name}","*add-mcp notion","*add-mcp"
COMMAND,*list-mcps,DevOps,devops,-,-,"Listar MCPs habilitados e suas tools","*list-mcps","*list-mcps","*list-mcps"
COMMAND,*create-schema,Database,data-engineer,-,-,"Design de schema de banco de dados","*create-schema","*create-schema","*create-schema"
COMMAND,*create-rls-policies,Database,data-engineer,-,-,"Design de RLS policies para Supabase","*create-rls-policies","*create-rls-policies","*create-rls-policies"
COMMAND,*apply-migration,Database,data-engineer,-,-,"Executar migration com snapshot de segurança","*apply-migration {path}","*apply-migration ./supabase/migrations/001_users.sql","*apply-migration"
COMMAND,*security-audit,Database,data-engineer,-,-,"Auditoria de segurança do banco (rls/schema/full)","*security-audit {scope}","*security-audit rls","*security-audit full"
COMMAND,*wireframe,UX,ux-design-expert,-,-,"Criar wireframes e fluxos de interação","*wireframe {fidelity}","*wireframe low","*wireframe high"
COMMAND,*audit,UX,ux-design-expert,-,-,"Escanear codebase para redundâncias de UI","*audit {path}","*audit src/components","*audit"
COMMAND,*tokenize,UX,ux-design-expert,-,-,"Extrair design tokens dos padrões consolidados","*tokenize","*tokenize","*tokenize"
COMMAND,*a11y-check,UX,ux-design-expert,-,-,"Auditoria de acessibilidade (WCAG AA/AAA)","*a11y-check","*a11y-check","*a11y-check"
COMMAND,*brainstorm,Research,analyst,-,-,"Facilitar sessão estruturada de brainstorming","*brainstorm {topic}","*brainstorm 'novas features'","*brainstorm"
COMMAND,*create-project-brief,Research,analyst,-,-,"Criar documento de brief do projeto","*create-project-brief","*create-project-brief","*create-project-brief"
COMMAND,*perform-market-research,Research,analyst,-,-,"Criar análise de pesquisa de mercado","*perform-market-research","*perform-market-research","*perform-market-research"
COMMAND,*create-competitor-analysis,Research,analyst,-,-,"Criar análise competitiva","*create-competitor-analysis","*create-competitor-analysis","*create-competitor-analysis"
COMMAND,*design-squad,Squad,squad-creator,-,-,"Desenhar squad a partir de documentação","*design-squad","*design-squad","*design-squad"
COMMAND,*create-squad,Squad,squad-creator,-,-,"Criar novo squad seguindo task-first architecture","*create-squad","*create-squad","*create-squad sales"
COMMAND,*validate-squad,Squad,squad-creator,-,-,"Validar squad contra JSON Schema e padrões AIOS","*validate-squad","*validate-squad tech","*validate-squad"
COMMAND,*analyze-squad,Squad,squad-creator,-,-,"Analisar estrutura e cobertura do squad","*analyze-squad","*analyze-squad tech","*analyze-squad"
COMMAND,*extend-squad,Squad,squad-creator,-,-,"Adicionar componentes a squad existente","*extend-squad {squad} {type}","*extend-squad tech agent","*extend-squad"
COMMAND,*draft,Story,sm,-,-,"Criar próxima user story","*draft","*draft","*draft"
